Tullid	tull	tull	d		S	pl n
      	£tulid	tule	id		V	sid
ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
Lätti	Läti	Läti	0		H	adt
     	£Läti	Lätti	0		H	sg g
maalt	maalt	maa	lt		S	sg abl
Engeladi	####	####				
        	#Engeladi	Engelad	0		H	sg g
walla	vald	vald	0		S	sg g
     	valla	valla	0		D	
     	@valla	vald	0		S	sg g
mehhed	####	####				
      	#mehed	mees	d		S	pl n
(	(	(			Z	
Gut	####	####				
   	¤					
Henselshof	####	####				
          	¤					
in	####	####				
  	¤					
Rujen	####	####				
     	¤					
)	)	)			Z	
Machrtin	####	####				
        	#Machrtin	Machrtin	0		H	sg n
Silling	####	####				
       	#Silling	Silling	0		H	sg n
ja	ja	ja	0		J	
Jakob	Jakob	Jakob	0		H	sg n
Bruhl	####	####				
     	#Bruhl	Bruhl	0		H	sg n
ja	ja	ja	0		J	
kaebasid	kaebasid	kaeba	sid		V	sid
,	,	,			Z	
et	et	et	0		J	
neil	see	see	l		P	pl ad
    	@neil	tema	l		P	pl ad
4	4	4	0		N	?
kartohwle	####	####				
         	#kartuli	kartohvel	0		S	sg g
koopad	koopad	koobas	d		S	pl n
sel	@sel	see	l		P	sg ad
   	sel	sel	0		Y	?
ösel	####	####				
    	#öösel	öösel	0		D	
2	2	2	0		N	?
/	/	/			Z	
3	3	3	0		N	?
Januar	####	####				
      	#jaanuar	jaanuar	0		S	sg n
se	####	####				
  	#see	see	0		P	sg n
aasta	aasta	aasta	0		S	sg g
     	@aasta	aasta	0		S	sg n
ärralöhhutud	####	####				
            	#ära_lõhutud	ära_lõhku	tud		V	tud
,	,	,			Z	
ning	ning	ning	0		J	
mollemil	####	####				
        	#mõlemil	mõlema	il		P	pl ad
kokko	####	####				
     	kokku	kogu	0		S	adt
     	#kokku	kokku	0		D	
16	16	16	0		N	?
wakka	vakk	vakk	0		S	adt
     	vakk	vakk	0		S	sg p
     	vakka	vakka	0		D	
     	vakka	vakk	0		S	adt
     	@vakka	vakk	0		S	sg p
kartohwlidseest	####	####				
               	#kartulit_seest	kartul_seest	0		D	
ärrawarrastud	####	####				
             	#ära_varastatud	ära_varasta	tud		V	tud
.	.	.			Z	
Järrele	####	####				
       	#järele	järele	0		D	
kulamise	####	####				
        	#kuulamise	kuulamine	0		S	sg g
peäle	####	####				
     	peale	pea	le		S	sg all
     	peale	peale	0		D	
     	#peale	peale	0		K	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
nemmad	####	####				
      	#nemad	tema	d		P	pl n
teada	teada	tead	a		V	da
sanud	####	####				
     	#saanud	saa	nud		V	nud
,	,	,			Z	
et	et	et	0		J	
Kööna	####	####				
     	#Kööna	Kööna	0		H	sg g
walla	vald	vald	0		S	sg g
     	valla	valla	0		D	
     	@valla	vald	0		S	sg g
mees	@mees	mees	0		S	sg n
    	mesi	mesi	s		S	sg in
(	(	(			Z	
Gut	####	####				
   	¤					
Koenigshof	####	####				
          	¤					
)	)	)			Z	
Jehkob	####	####				
      	#Jehkob	Jehkob	0		H	sg n
Ohsul	####	####				
     	#Ohsul	Ohsul	0		H	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
nende	see	see	de		P	pl g
     	@nende	tema	de		P	pl g
Abia	####	####				
    	#Abja	Abia	0		H	sg g
meestega	meene	meene	tega		A	pl kom
        	@meestega	mees	tega		S	pl kom
Karl	Karl	Karl	0		H	sg n
Pärn	pärn	pärn	0		S	sg n
    	£Pärn	Pärn	0		H	sg n
ja	ja	ja	0		J	
Hendrik	Hendrik	Hendrik	0		H	sg n
Ärg	####	####				
   	#Ärg	Ärg	0		H	sg n
need	need	see	d		P	pl n
kartohwle	####	####				
         	#kartuli	kartohvel	0		S	sg g
kopad	kopp	kopp	d		S	pl n
     	£koopad	koobas	d		S	pl n
ärralöhkunud	####	####				
            	#ära_lõhkunud	ära_lõhku	nud		V	nud
ja	ja	ja	0		J	
need	need	see	d		P	pl n
Abia	####	####				
    	#Abja	Abia	0		H	sg g
mehhed	####	####				
      	#mehed	mees	d		S	pl n
ollewad	####	####				
       	#olevat	ole	vad		V	vat
keik	####	####				
    	kõik	kõik	0		P	pl n
    	#kõik	kõik	0		P	sg n
need	need	see	d		P	pl n
kartohwlid	####	####				
          	#kartulid	kartohvel	d		S	pl n
ommale	####	####				
      	#omale	oma	le		P	sg all
winud	vinu	vinu	d		S	pl n
     	£viinud	vii	nud		V	nud
.	.	.			Z	
Sepeäle	####	####				
       	#seepeale	see_peale	0		D	
on	ole	ole	0		V	b
  	@on	ole	0		V	vad
kaebajad	kaebajad	kaebaja	d		S	pl n
Abia	####	####				
    	#Abja	Abia	0		H	sg g
peakohtomehhega	####	####				
               	#peakohtumehega	pea_kohus_mees	ga		S	sg kom
Hendrik	Hendrik	Hendrik	0		H	sg n
Laur	Laur	Laur	0		H	sg n
nende	see	see	de		P	pl g
     	@nende	tema	de		P	pl g
Abia	####	####				
    	#Abja	Abia	0		H	sg g
meeste	meene	meene	te		A	pl g
      	@meeste	mees	te		S	pl g
Hendrik	Hendrik	Hendrik	0		H	sg n
Ärg	####	####				
   	#Ärg	Ärg	0		H	sg n
ja	ja	ja	0		J	
Karl	Karl	Karl	0		H	sg n
Pärn	pärn	pärn	0		S	sg n
    	£Pärn	Pärn	0		H	sg n
jure	####	####				
    	juurde	juur	de		S	adt
    	juurde	juurde	0		D	
    	#juurde	juurde	0		K	
otsi	otsi	otsi	0		V	o
    	ots	ots	i		S	pl p
    	¤					
ma	mina	mina	0		P	sg n
  	¤					
läinud	läinud	läinud	0		A	
      	läinud	läinud	0		A	sg n
      	läinu	läinu	d		S	pl n
      	läinud	läinud	d		A	pl n
      	@läinud	mine	nud		V	nud
,	,	,			Z	
ja	ja	ja	0		J	
nende	see	see	de		P	pl g
     	@nende	tema	de		P	pl g
jurest	####	####				
      	#juurest	juurest	0		D	
agga	####	####				
    	#aga	aga	0		J	
4	4	4	0		N	?
wakka	vakk	vakk	0		S	adt
     	vakk	vakk	0		S	sg p
     	vakka	vakka	0		D	
     	vakka	vakk	0		S	adt
     	@vakka	vakk	0		S	sg p
kartohwlid	####	####				
          	#kartulit	kartohvel	d		S	sg p
leidnud	leid=nud	leid=nud	0		A	
       	leid=nud	leid=nud	0		A	sg n
       	leid=nu	leid=nu	d		S	pl n
       	leid=nud	leid=nud	d		A	pl n
       	@leidnud	leid	nud		V	nud
,	,	,			Z	
kaebajad	kaebajad	kaebaja	d		S	pl n
nouawad	####	####				
       	#nõuavad	nõud	vad		V	vad
nende	see	see	de		P	pl g
     	@nende	tema	de		P	pl g
käest	@käest	käest	0		K	
     	käsi	käsi	st		S	sg el
agga	####	####				
    	#aga	aga	0		J	
16	16	16	0		N	?
wakka	vakk	vakk	0		S	adt
     	vakk	vakk	0		S	sg p
     	vakka	vakka	0		D	
     	vakka	vakk	0		S	adt
     	@vakka	vakk	0		S	sg p
kartohwled	####	####				
          	#kartulit	kartohvel	d		S	sg p
ja	ja	ja	0		J	
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
soidude	####	####				
       	#sõitude	sõit	de		S	pl g
kullo	####	####				
     	#kulu	kulu	0		S	sg g
.	.	.			Z	
Karl	Karl	Karl	0		H	sg n
Pärn	pärn	pärn	0		S	sg n
    	£Pärn	Pärn	0		H	sg n
ja	ja	ja	0		J	
Hendrik	Hendrik	Hendrik	0		H	sg n
Ärg	####	####				
   	#Ärg	Ärg	0		H	sg n
said	said	saa	id		V	sid
