Se	####	####				
  	#see	see	0		P	sg n
moisa	####	####				
     	#mõisa	mõis	0		S	sg g
opmann	####	####				
      	#opman	opman	0		S	sg n
Opmann	####	####				
      	#opman	opman	0		S	sg n
kaibas	####	####				
      	#kaebas	kaeba	s		V	s
et	et	et	0		J	
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
wina	vina	vina	0		S	sg g
    	vina	vina	0		S	sg n
    	vina	vina	0		S	sg p
    	vina	vina	0		V	o
    	£viina	viin	0		S	sg g
woori	voor	voor	0		S	adt
     	@voori	voor	0		S	sg g
     	voor	voor	0		S	sg p
     	voori	voori	0		V	o
     	voor	voor	i		S	pl p
,	,	,			Z	
kus	kus	kus	0		D	
50-ami	50	50	0		N	?
olnut	olnu	olnu	t		S	sg p
     	£olnud	ole	nut		V	nud
,	,	,			Z	
mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
sell	sell	sell	0		S	sg n
    	£sel	see	l		P	sg ad
10mal	####	####				
     	#10ndal	10=s	l		O	sg ad
Janoari	####	####				
       	#jaanuari	jaanuar	0		S	sg g
kuun	####	####				
    	#kuus	kuu	n		S	sg in
se	####	####				
  	#see	see	0		P	sg n
astam	####	####				
     	#aasta	aasta	0		S	sg n
Narwa	Narva	Narva	0		H	adt
     	@Narva	Narva	0		H	sg g
     	Narva	Narva	0		H	sg n
     	narva	narva	0		G	
linna	@linna	linn	0		S	adt
     	linn	linn	0		S	sg g
     	linn	linn	0		S	sg p
sadeti	####	####				
      	#saadeti	saat	ti		V	ti
,	,	,			Z	
ommawat	####	####				
       	#on	ole	mmavat		V	vad
weel	@veel	veel	0		D	
    	vesi	vesi	l		S	sg ad
    	veel	vesi	l		S	sg ad
woori-rahwat	voor	voor	0		S	adt
            	voor	voor	0		S	sg g
            	voor	voor	0		S	sg p
            	voori	voori	0		V	o
            	voor	voor	i		S	pl p
            	£voorirahvad	voori_rahvas	t		S	pl n
tee	@tee	tee	0		S	sg g
   	tee	tee	0		S	sg n
   	tege	tege	0		V	o
pael	paas	paas	l		S	sg ad
    	pael	pael	0		S	sg n
    	£peal	peal	0		K	
wina	vina	vina	0		S	sg g
    	vina	vina	0		S	sg n
    	vina	vina	0		S	sg p
    	vina	vina	0		V	o
    	£viina	viin	0		S	sg g
amis	####	####				
    	#aamis	aam	s		S	sg in
augut	####	####				
     	#augud	auk	t		S	pl n
porinut	####	####				
       	#puurinud	puuri	nut		V	nud
,	,	,			Z	
nink	####	####				
    	#ning	ning	0		J	
se	####	####				
  	#see	see	0		P	sg n
wiena	####	####				
     	#viina	viin	0		S	sg p
2	2	2	0		N	?
Gradi	####	####				
     	#kraadi	kraad	0		S	sg p
moisan	####	####				
      	#mõisas	mõisa	n		S	sg in
parrembas	####	####				
         	#paremaks	parem	s		C	sg tr
pöllenut	####	####				
        	#põlenud	põle	nut		V	nud
,	,	,			Z	
agga	####	####				
    	#aga	aga	0		J	
Narwa	Narva	Narva	0		H	adt
     	@Narva	Narva	0		H	sg g
     	Narva	Narva	0		H	sg n
     	narva	narva	0		G	
linnas	linnas	linn	s		S	sg in
6	6	6	0		N	?
