Ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
tulli	tull	tull	0		S	adt
     	tull	tull	0		S	sg g
     	tull	tull	0		S	sg p
     	@tuli	tule	i		V	s
     	tuli	tuli	0		S	sg n
Wahhetükki	####	####				
          	#Vahetüki	Wahhetüki	0		H	sg g
rentnik	rentnik	rentnik	0		S	sg n
Juhhan	####	####				
      	#Juhan	Juhhan	0		H	sg n
Otsman	####	####				
      	#Otsman	Otsman	0		H	sg n
,	,	,			Z	
ja	ja	ja	0		J	
kaebab	kaebab	kaeba	b		V	b
et	et	et	0		J	
süggise	####	####				
       	#sügise	sügis	0		S	sg g
kui	kui	kui	0		D	
   	@kui	kui	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
reht	reht	rehi	t		S	sg p
peksis	peksis	peks	is		V	s
tulnud	tul=nud	tul=nud	0		A	
      	tul=nud	tul=nud	0		A	sg n
      	tul=nud	tul=nud	d		A	pl n
      	@tulnud	tule	nud		V	nud
      	tulnu	tulnu	d		S	pl n
Hinrek	####	####				
      	#Hinrek	Hinrek	0		H	sg n
Risikambi	####	####				
         	#Risikambi	Risikambi	0		H	sg n
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
maiasse	maia	maia	sse		S	sg ill
       	maias	maias	sse		A	sg ill
       	@majasse	maja	sse		S	sg ill
ja	ja	ja	0		J	
öölnud	####	####				
      	#öelnud	ütle	nud		V	nud
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
perrenaesele	####	####				
            	#perenaisele	perenaine	le		S	sg all
(	(	(			Z	
sest	see	see	st		P	sg el
    	@sest	sest	0		J	
Juhhan	####	####				
      	#Juhan	Juhhan	0		H	sg n
olli	####	####				
    	#oli	ole	i		V	s
isse	####	####				
    	#ise	ise	0		P	sg n
    	ise	ise	0		D	
    	ise	ise	0		P	pl n
kotto	####	####				
     	#kodu	kodu	0		S	sg g
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
olnud	ol=nud	ol=nud	0		A	
     	ol=nud	ol=nud	0		A	sg n
     	ol=nud	ol=nud	d		A	pl n
     	@olnud	ole	nud		V	nud
     	olnu	olnu	d		S	pl n
)	)	)			Z	
et	et	et	0		J	
tulge	tulge	tule	ge		V	ge
ja	ja	ja	0		J	
wige	####	####				
    	#viige	vii	ge		V	ge
enneste	####	####					
       	#eneste	ise	te		P	pl g
ohrad	####	####				
     	#odrad	ohr	d		S	pl n
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
Risikambi	####	####				
         	#Risikambi	Risikambi	0		H	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
teie	@teie	sina	0		P	pl g
    	sina	sina	0		P	pl n
reiest	reis	reis	st		S	sg el
      	£rehest	rehi	st		S	sg el
toone	toon	toon	e		S	pl p
     	£toonud	too	ne		V	nud
,	,	,			Z	
ja	ja	ja	0		J	
Wahhetüki	####	####				
         	#Vahetüki	Wahhetüki	0		H	sg g
perrenaene	####	####				
          	#perenaine	pere_naine	0		S	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
läind	####	####				
     	#läinud	mine	nd		V	nud
senna	senna	senna	0		S	sg g
     	senna	senna	0		S	sg n
     	£sinna	sinna	0		D	
Hinreko	####	####				
       	#Hinreku	Hinrek	0		H	sg g
maiasse	maia	maia	sse		S	sg ill
       	maias	maias	sse		A	sg ill
       	@majasse	maja	sse		S	sg ill
neid	neid	neid	0		S	sg n
    	@neid	see	d		P	pl p
    	tema	tema	d		P	pl p
ohre	####	####				
    	#otri	ohr	e		S	pl p
watama	####	####				
      	#vaatama	vaata	ma		V	ma
(	(	(			Z	
mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
aiaga	aed	aed	ga		S	sg kom
     	£ajaga	aeg	ga		S	sg kom
senna	senna	senna	0		S	sg g
     	senna	senna	0		S	sg n
     	£sinna	sinna	0		D	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
toond	####	####					
     	#toonud	too	nd		V	nud
kui	kui	kui	0		D	
   	@kui	kui	0		J	
Hinrek	####	####				
      	#Hinrek	Hinrek	0		H	sg n
koto	####	####				
    	#kodu	kodu	0		S	sg g
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
olli	####	####				
    	#oli	ole	i		V	s
sest	see	see	st		P	sg el
    	@sest	sest	0		J	
Ado	Ado	Ado	0		H	sg g
   	@Ado	Ado	0		H	sg n
ellas	####	####				
     	#elas	ela	s		V	s
ka	ka	ka	0		D	
seal	@seal	seal	0		D	
    	siga	siga	l		A	sg ad
    	siga	siga	l		S	sg ad
Hinreko	####	####				
       	#Hinreku	Hinrek	0		H	sg g
maias	maias	maias	0		A	sg n
     	maia	maia	s		S	sg in
     	maias	maias	s		A	sg in
     	@majas	maja	s		S	sg in
)	)	)			Z	
ja	ja	ja	0		J	
wahhetükki	####	####				
          	#Vahetüki	Wahhetüki	0		H	sg g
perrenaene	####	####				
          	#perenaine	pere_naine	0		S	sg n
leind	####	####				
     	#leidnud	leid	nd		V	nud
need	need	see	d		P	pl n
ohrad	####	####				
     	#odrad	ohr	d		S	pl n
sealt	@sealt	sealt	0		D	
     	siga	siga	lt		A	sg abl
     	siga	siga	lt		S	sg abl
Hinreko	####	####				
       	#Hinreku	Hinrek	0		H	sg g
reiealt	####	####				
       	#rehe_alt	rehi_alt	0		D	
arwata	arvata	arvata	0		D	
      	@arvata	arva	ta		V	da
      	arva	arva	ta		V	ta
3	3	3	0		N	?
tündred	####	####				
       	#tündred	tünder	d		S	pl n
puhtaid	puhtaid	puhas	id		A	pl p
ohre	####	####				
    	#otri	ohr	e		S	pl p
ja	ja	ja	0		J	
2	2	2	0		N	?
wakka	vakk	vakk	0		S	adt
     	vakk	vakk	0		S	sg p
     	vakka	vakka	0		D	
     	vakka	vakk	0		S	adt
     	@vakka	vakk	0		S	sg p
agganattega	####	####				
           	#aganatega	agan	tega		S	pl kom
seggaminne	####	####				
          	#segamini	segamini	0		D	
,	,	,			Z	
ja	ja	ja	0		J	
siis	@siis	siis	0		D	
    	siis	siis	0		J	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
sealt	@sealt	sealt	0		D	
     	siga	siga	lt		A	sg abl
     	siga	siga	lt		S	sg abl
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
tulnud	tul=nud	tul=nud	0		A	
      	tul=nud	tul=nud	0		A	sg n
