No	no	no	0		I	
  	£no	no	0		Y	?
3	3	3	0		N	?
Kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ees	ees	ees	0		D	
   	@ees	ees	0		K	
   	esi	esi	s		S	sg in
kaebaja	kaebaja	kaebaja	0		S	sg g
       	@kaebaja	kaebaja	0		S	sg n
Marri	####	####				
     	#Mari	Marri	0		H	sg n
Udekül	####	####				
      	#Uudeküll	Udekül	0		H	sg n
ja	ja	ja	0		J	
temma	####	####				
     	#tema	tema	0		P	sg g
     	tema	tema	0		P	sg n
wastane	vastane	vastane	0		A	sg n
       	@vastane	vastane	0		S	sg n
Kotlep	####	####				
      	#Kotlep	Kotlep	0		H	sg n
Rep	####	####				
   	#Repp	Rep	0		H	sg n
,	,	,			Z	
sõimmo	####	####				
      	#sõimu	sõim	0		S	sg g
sannade	####	####				
       	#sõnade	sõna	de		S	pl g
ja	ja	ja	0		J	
lükkamisse	lükka=mine	lükka=mine	se		S	adt
          	£lükkamise	lükkamine	0		S	sg g
pärrast	####	####				
       	pärast	pära	st		S	sg el
       	pärast	pärane	t		A	sg p
       	pärast	pärast	0		D	
       	#pärast	pärast	0		K	
,	,	,			Z	
Marri	####	####				
     	#Mari	Marri	0		H	sg n
Udekül	####	####				
      	#Uudeküll	Udekül	0		H	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
kaebanud	####	####				
        	#kaevanud	kaeba	nud		V	nud
et	et	et	0		J	
ta	tema	tema	0		P	sg g
  	@ta	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
läinud	läinud	läinud	0		A	
      	läinud	läinud	0		A	sg n
      	läinu	läinu	d		S	pl n
      	läinud	läinud	d		A	pl n
      	@läinud	mine	nud		V	nud
Reppi	####	####				
     	#Repi	Rep	0		H	sg g
poodi	@poodi	pood	0		S	adt
     	pood	pood	0		S	sg p
     	poo	poo	di		V	ti
rahha	####	####				
     	raha	raha	0		S	sg g
     	#raha	raha	0		S	sg p
wahhe	####	####				
     	¤					
tamma	####	####				
     	¤					
ja	ja	ja	0		J	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
näinud	näge	näge	nud		V	nud
      	näi=nud	näi=nud	0		A	
      	näi=nud	näi=nud	0		A	sg n
      	näi=nud	näi=nud	d		A	pl n
      	näinu	näinu	d		S	pl n
      	@näinud	näi	nud		V	nud
Reppi	####	####				
     	#Repi	Rep	0		H	sg g
käes	@käes	käes	0		K	
    	käsi	käsi	s		S	sg in
Hõbbe	####	####				
     	#hõbe	hõbe	0		S	sg n
rahha	####	####				
     	raha	raha	0		S	sg g
     	#raha	raha	0		S	sg p
ja	ja	ja	0		J	
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
,	,	,			Z	
ütelnud	ütel=nud	ütel=nud	0		A	
       	ütel=nud	ütel=nud	0		A	sg n
       	ütel=nu	ütel=nu	d		S	pl n
       	ütel=nud	ütel=nud	d		A	pl n
       	@ütelnud	ütle	nud		V	nud
andge	####	####				
     	#andke	and	ge		V	ge
se	####	####				
  	#see	see	0		P	sg n
rahha	####	####				
     	raha	raha	0		S	sg g
     	raha	raha	0		S	sg p
     	#raha	raha	0		S	sg n
mulle	@mulle	mina	lle		P	sg all
     	mulle	mulle	0		S	sg n
     	mull	mull	e		S	pl p
,	,	,			Z	
siis	@siis	siis	0		D	
    	siis	siis	0		J	
Rep	####	####				
   	#Repp	Rep	0		H	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
ütelnud	ütel=nud	ütel=nud	0		A	
       	ütel=nud	ütel=nud	0		A	sg n
       	ütel=nu	ütel=nu	d		S	pl n
       	ütel=nud	ütel=nud	d		A	pl n
       	@ütelnud	ütle	nud		V	nud
Marri	####	####				
     	#Mari	Marri	0		H	sg n
Udeküllalle	####	####				
           	#Uudeküllile	Udekül	le		H	sg all
sõimmo	####	####				
      	#sõimu	sõim	0		S	sg g
sannad	####	####				
      	#sõnad	sõna	d		S	pl n
?	?	?			Z	
-	-	-			Z	
Siis	@siis	siis	0		D	
    	siis	siis	0		J	
Marri	####	####				
     	#Mari	Marri	0		H	sg n
Udekül	####	####				
      	#Uudeküll	Udekül	0		H	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
ütelnud	ütel=nud	ütel=nud	0		A	
       	ütel=nud	ütel=nud	0		A	sg n
       	ütel=nu	ütel=nu	d		S	pl n
       	ütel=nud	ütel=nud	d		A	pl n
       	@ütelnud	ütle	nud		V	nud
Et	et	et	0		J	
egga	####	####				
    	#ega	ega	0		D	
    	ega	ega	0		J	
teie	sina	sina	0		P	pl g
    	@teie	sina	0		P	pl n
nende	@nende	see	de		P	pl g
     	tema	tema	de		P	pl g
sannade	####	####				
       	#sõnade	sõna	de		S	pl g
peälle	####	####				
      	#peale	peale	0		K	
ei	ei	ei	0		D	
  	@ei	ei	0		V	neg
olle	####	####				
    	#ole	ole	0		V	o
mitte	mitte	mitte	0		D	
kaup	kaup	kaup	0		S	sg n
mees	@mees	mees	0		S	sg n
    	mesi	mesi	s		S	sg in
,	,	,			Z	
teie	sina	sina	0		P	pl g
    	@teie	sina	0		P	pl n
ollede	####	####				
