Kaebas	kaebas	kaeba	s		V	s
kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
walla	vald	vald	0		S	sg g
     	valla	valla	0		D	
     	@valla	vald	0		S	sg g
tallitaja	####	####				
         	#talitaja	talitaja	0		S	sg n
         	talitaja	talitaja	0		S	sg g
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Nöurus	####	####				
      	#Nöurus	Nöurus	0		H	sg n
tema	tema	tema	0		P	sg g
    	@tema	tema	0		P	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
minewa	mineva	minev	0		A	sg g
näddala	####	####				
       	#nädala	nädal	0		S	sg g
Tuiso	####	####				
     	#Tuisu	Tuiso	0		H	sg g
kõrtso	####	####				
      	#kõrtsi	kõrts	0		S	sg g
Madli	####	####				
     	#Madli	Madli	0		H	sg n
Männartile	####	####				
          	#Männartile	Männart	le		H	sg all
käinud	käi=nud	käi=nud	0		A	
      	käi=nud	käi=nud	0		A	sg n
      	käi=nud	käi=nud	d		A	pl n
      	käinu	käinu	d		S	pl n
      	@käinud	käi	nud		V	nud
käsko	####	####				
     	#käsku	käsk	0		S	sg p
andmas	andmas	and	mas		V	mas
,	,	,			Z	
et	et	et	0		J	
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
Maggasi	####	####				
       	#magasi	magas	0		S	sg g
wölga	####	####				
     	#võlga	võlg	0		S	sg p
1	1	1	0		N	?
Tsetwerik	####	####				
         	#veerik	tsetveerik	0		S	sg n
rukkid	rukkid	rukis	d		S	pl n
peab	peab	pida	b		V	b
tullema	tull_ema	tull_ema	0		S	sg g
       	tull_ema	tull_ema	0		S	sg n
       	tull_ema	tull_ema	0		S	sg p
       	£tulema	tule	ma		V	ma
