Uemoisas	####	####				
        	#Uuemõisas	Uuemõisa	s		H	sg in
sel	@sel	see	l		P	sg ad
   	sel	sel	0		Y	?
2sel	####	####				
    	#2sel	2=ne	l		O	sg ad
Junil	####	####				
     	#juunil	juuni	0		S	sg ad
1869.	1869.	1869.	0		O	?
Koggukonna	####	####				
          	#kogukonna	kogukond	0		S	sg g
kohtus	kohtu	kohtu	s		V	s
      	@kohtus	kohus	s		S	sg in
.	.	.			Z	
Koos	@koos	koos	0		D	
    	koos	koos	0		K	
    	koos	koos	0		S	sg n
    	kubu	kubu	s		S	sg in
ollid	####	####				
     	#olid	ole	id		V	sid
:	:	:			Z	
Kohtumees	kohtumees	kohtu_mees	0		S	sg n
Jürri	####	####				
     	#Jüri	Jürri	0		H	sg n
Eldermann	####	####				
         	#Eldermann	Eldermann	0		H	sg n
Körwasmehhed	####	####				
            	#kõrvamehed	kõrva_mees	d		S	pl n
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Rosenbaum	####	####				
         	#Rosenbaum	Rosenbaum	0		H	sg n
""""	""""	""""			Z	
Jaan	@Jaan	Jaan	0		H	sg n
    	jaan	jaan	0		S	sg n
    	jaan	jaan	0		Y	?
Jaansohn	####	####				
        	#Jaanson	Jaansohn	0		H	sg n
Uemoisast	####	####				
         	#Uuemõisast	Uuemõisa	st		H	sg el
.	.	.			Z	
Astus	astus	astu	s		V	s
ette	esi	esi	tte		S	adt
    	@ette	ette	0		D	
    	ette	ette	0		K	
kaebaja	kaebaja	kaebaja	0		S	sg g
       	@kaebaja	kaebaja	0		S	sg n
Wabbadikko	####	####				
          	#Vabadiku	Wabbadikko	0		H	sg g
perremees	perre_mees	perre_mees	0		S	sg n
         	@peremees	pere_mees	0		S	sg n
Hindrek	####	####				
       	#Hindrek	Hindrek	0		H	sg n
Jürgensohn	####	####				
          	#Jürgenson	Jürgensohn	0		H	sg n
ja	ja	ja	0		J	
kaebas	kaebas	kaeba	s		V	s
Kurrena	####	####				
       	#Kurena	Kurrena	0		H	sg g
külla	küla	küla	0		S	adt
     	küll	küll	0		S	adt
     	küll	küll	0		S	sg g
     	küll	küll	0		S	sg p
     	£küla	küla	0		S	sg g
karjatse	####	####				
        	#karjase	karjane	0		S	sg g
Tönno	####	####				
     	#Tõnu	Tönno	0		H	sg n
Wahtmeistri	vaht_meister	vaht_meister	0		S	sg g
           	£Vahtmeistri	Wahtmeister	0		H	sg g
ja	ja	ja	0		J	
Uemoisa	####	####				
       	#Uuemõisa	Uuemõisa	0		H	sg g
Karjatse	####	####				
        	#karjase	karjane	0		S	sg g
Tönno	####	####				
     	#Tõnu	Tönno	0		H	sg n
Tru	####	####				
   	#Truu	Truu	0		H	sg g
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
,	,	,			Z	
et	et	et	0		J	
nimmetud	nimme=tu	nimme=tu	d		A	pl n
        	@nimetatud	nimeta	tud		V	tud
Kurrena	####	####				
       	#Kurena	Kurrena	0		H	sg g
karjane	karjane	karjane	0		S	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
kaebaja	@kaebaja	kaebaja	0		S	sg g
       	kaebaja	kaebaja	0		S	sg n
kaks	kaks	kaks	0		N	sg n
lehma	lehm	lehm	0		S	adt
     	lehm	lehm	0		S	sg g
     	@lehma	lehm	0		S	sg p
omma	####	####				
    	#oma	oma	0		P	sg g
    	on	ole	0		V	vad
karja	kari	kari	0		S	adt
     	@karja	kari	0		S	sg g
     	kari	kari	0		S	sg p
hulgast	@hulgast	hulgast	0		K	
       	hulk	hulk	st		S	sg el
Pühhapääw	####	####				
         	#pühapäev	pühapäev	0		S	sg n
sel	@sel	see	l		P	sg ad
   	sel	sel	0		Y	?
18mal	####	####				
     	#18ndal	18=s	l		O	sg ad
Mail	Mai	Mai	l		H	sg ad
    	maa	maa	il		S	pl ad
    	mail	mail	0		S	sg n
    	@mail	mai	l		S	sg ad
