Kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
korra	korra	kord	0		S	sg g
pärrast	####	####				
       	pärast	pära	st		S	sg el
       	pärast	pärane	t		A	sg p
       	pärast	pärast	0		D	
       	#pärast	pärast	0		K	
ollid	####	####				
     	#olid	ole	id		V	sid
Kuie	####	####				
    	#Kuie	Kuie	0		H	sg g
walla	vald	vald	0		S	sg g
     	valla	valla	0		D	
     	@valla	vald	0		S	sg g
kohtomaiasse	####	####				
            	#kohtumajasse	kohtus_maja	sse		S	sg ill
kokko	####	####				
     	kokku	kogu	0		S	adt
     	#kokku	kokku	0		D	
tulnud	tul=nud	tul=nud	0		A	
      	tul=nud	tul=nud	0		A	sg n
      	tul=nud	tul=nud	d		A	pl n
      	@tulnud	tule	nud		V	nud
      	tulnu	tulnu	d		S	pl n
:	:	:			Z	
Kohtowannem	####	####				
           	#kohtuvanem	kohtu_vanem	0		S	sg n
,	,	,			Z	
kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
kõrwamehhed	####	####				
           	#kõrvamehed	kõrva_mees	d		S	pl n
ja	ja	ja	0		J	
kirjutaja	kirjutaja	kirjutaja	0		S	sg g
         	@kirjutaja	kirjutaja	0		S	sg n
.	.	.			Z	
Sellitatud	####	####				
          	#seletatud	seleta	tud		V	tud
sai	@sai	saa	i		V	s
   	sai	sai	0		S	sg n
sedda	####	####				
     	#seda	see	da		P	sg p
eio	####	####				
   	¤					
asja	asi	asi	0		S	adt
    	asi	asi	0		S	sg g
    	@asja	asi	0		S	sg p
:	:	:			Z	
Märtsil	märtsil	märts	l		S	sg ad
Kuie	####	####				
    	#Kuie	Kuie	0		H	sg g
Jõe	jõgi	jõgi	0		S	sg g
   	£Jõe	Jõe	0		H	sg g
äre	####	####				
   	#ääre	ääre	0		H	sg g
kõrtsus	####	####				
       	#kõrtsis	kõrts	s		S	sg in
olli	####	####				
    	#oli	ole	i		V	s
