Kohtu	kohtu	kohtu	0		V	o
     	@kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
tuli	@tuli	tule	i		V	s
    	tuli	tuli	0		S	sg n
(	(	(			Z	
Sagadist	####	####				
        	#Sagadist	Sagadi	st		H	sg el
)	)	)			Z	
Mart	@Mart	Mart	0		H	sg n
    	mart	mart	0		S	sg n
Wassermann	####	####				
          	#Vassermann	Wassermann	0		H	sg n
ja	ja	ja	0		J	
kaebas	kaebas	kaeba	s		V	s
,	,	,			Z	
et	et	et	0		J	
Erik	Erik	Erik	0		H	sg n
Rommann	####	####				
       	#Rommann	Rommann	0		H	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
teda	teda	tema	da		P	sg p
Sippa	####	####				
     	#Sipa	Sippa	0		H	sg g
kõrtsus	####	####				
       	#kõrtsis	kõrts	s		S	sg in
17	17	17	0		N	?
Oktoobri	oktoobri	oktoober	0		S	sg g
õhtul	õhtul	õhtu	l		S	sg ad
esite	####	####				
     	#esiteks	esiteks	0		D	
sõimand	sõim_and	sõim_and	0		S	sg n
       	£sõimanud	sõima	nd		V	nud
ja	ja	ja	0		J	
pärast	pärane	pärane	t		A	sg p
      	@pärast	pärast	0		D	
      	pärast	pärast	0		K	
      	pära	pära	st		S	sg el
hakand	####	####				
      	#hakanud	hakka	nd		V	nud
rusikaga	rusikaga	rusikas	ga		S	sg kom
päha	####	####				
    	#pähe	pea	0		S	adt
peksma	peksma	peks	ma		V	ma
.	.	.			Z	
Kõrtsu	####	####				
      	#kõrtsi	kõrts	0		S	sg g
naene	####	####				
     	#naine	naine	0		S	sg n
Tiina	Tiina	Tiina	0		H	sg g
     	@Tiina	Tiina	0		H	sg n
Kendman	####	####				
       	#Kendman	Kendman	0		H	sg n
winud	vinu	vinu	d		S	pl n
     	£viinud	vii	nud		V	nud
tule	tule	tule	0		V	o
    	@tule	tuli	0		S	sg g
toast	toast	tuba	st		S	sg el
ära	@ära	ära	0		D	
   	ära	ära	0		V	neg o
taha	@taha	taha	0		D	
    	taha	taha	0		K	
    	taht	taht	0		V	o
kambri	kamber	kamber	0		S	sg g
      	£kambrisse	kamber	0		S	adt
ja	ja	ja	0		J	
hüdnud	####	####				
      	#hüüdnud	hüüd	nud		V	nud
:	:	:			Z	
wiige	viig	viig	e		S	pl p
     	@viige	vii	ge		V	ge
teda	teda	tema	da		P	sg p
wälja	väli	väli	0		S	adt
     	väli	väli	0		S	sg g
     	väli	väli	0		S	sg p
     	@välja	välja	0		D	
     	välja	välja	0		V	o
     	välja	väli	0		S	adt
     	välja	väli	0		S	sg g
     	välja	väli	0		S	sg p
!	!	!			Z	
Siis	@siis	siis	0		D	
    	siis	siis	0		J	
tulnud	tul=nud	tul=nud	0		A	
      	tul=nud	tul=nud	0		A	sg n
      	tul=nud	tul=nud	d		A	pl n
      	@tulnud	tule	nud		V	nud
      	tulnu	tulnu	d		S	pl n
pimedas	@pimedas	pime	s		A	sg in
       	pime	pime	s		S	sg in
toas	toas	tuba	s		S	sg in
mitto	####	####				
     	#mitu	mitu	0		P	sg n
meest	meene	meene	t		A	sg p
     	@meest	mees	t		S	sg p
     	mesi	mesi	st		S	sg el
tema	@tema	tema	0		P	sg g
    	tema	tema	0		P	sg n
kallale	kallale	kallale	0		D	
       	@kallale	kallale	0		K	
       	kalla	kalla	le		S	sg all
ja	ja	ja	0		J	
wiinud	vii=nud	vii=nud	0		A	
      	vii=nud	vii=nud	0		A	sg n
      	vii=nu	vii=nu	d		S	pl n
      	vii=nud	vii=nud	d		A	pl n
      	@viinud	vii	nud		V	nud
teda	teda	tema	da		P	sg p
õue	õu	õu	0		S	adt
   	õu	õu	0		S	sg g
   	õu	õu	0		S	sg p
   	@õue	õue	0		D	
,	,	,			Z	
pannud	pan=nud	pan=nud	0		A	
      	pan=nud	pan=nud	0		A	sg n
      	pan=nu	pan=nu	d		S	pl n
      	pan=nud	pan=nud	d		A	pl n
      	@pannud	pane	nud		V	nud
teda	teda	tema	da		P	sg p
kõrtsu	####	####				
      	#kõrtsi	kõrts	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
muda	@muda	muda	0		S	sg g
    	muda	muda	0		S	sg n
    	muda	muda	0		S	sg p
sisse	sisse	sisse	0		D	
     	@sisse	sisse	0		K	
     	siss	siss	e		S	pl p
silmili	silmili	silmili	0		D	
ja	ja	ja	0		J	
peksnud	peks=nud	peks=nud	0		A	
       	peks=nud	peks=nud	0		A	sg n
       	peks=nu	peks=nu	d		S	pl n
       	peks=nud	peks=nud	d		A	pl n
       	@peksnud	peks	nud		V	nud
teda	teda	tema	da		P	sg p
ni	####	####				
  	#nii	nii	0		D	
