Tullid	tull	tull	d		S	pl n
      	£tulid	tule	id		V	sid
Koggokonna	####	####				
          	#kogukonna	kogukond	0		S	sg g
Kohhus	####	####				
      	kohus	kohu	s		V	s
      	#kohus	kohus	0		S	sg n
Kaarli	Kaarel	Kaarel	0		H	sg g
      	Kaarli	Kaarli	0		H	sg g
      	@Kaarli	Kaarli	0		H	sg n
Karitse	####	####				
       	#Karitse	Karits	0		H	sg g
Tina	tina	tina	0		S	sg g
    	tina	tina	0		S	sg n
    	tina	tina	0		S	sg p
    	£Tiina	Tina	0		H	sg n
Wirwese	####	####				
       	#Virvese	Wirwes	0		H	sg g
Mina	mina	mina	0		P	sg n
    	mina	mina	0		S	sg g
    	mina	mina	0		S	sg n
    	mina	mina	0		S	sg p
    	£Miina	Mina	0		H	sg n
Raet	####	####				
    	#Raet	Raet	0		H	sg n
Kaiptusse	####	####				
         	#kaebuse	kaebus	0		S	sg g
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
Kokko	####	####				
     	#kokku	kokku	0		D	
et	et	et	0		J	
Koolmeistri	koolmeistri	kool_meister	0		S	sg g
2	2	2	0		N	?
härga	härg	härg	0		S	adt
     	@härga	härg	0		S	sg p
ja	ja	ja	0		J	
1	1	1	0		N	?
lehm	lehm	lehm	0		S	sg n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
nende	see	see	de		P	pl g
     	@nende	tema	de		P	pl g
odrad	odrad	oder	d		S	pl n
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
sönud	####	####				
     	#söönud	söö	nud		V	nud
Selle	@selle	see	0		P	sg g
     	sell	sell	e		S	pl p
pöllu	####	####				
     	#põllu	põld	0		S	sg g
pealt	pealt	pealt	0		D	
     	@pealt	pealt	0		K	
     	pea	pea	lt		S	sg abl
mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
nemmad	####	####				
      	#nemad	tema	d		P	pl n
Lümmada	####	####				
       	#Lümanda	Lümmada	0		H	sg g
Kergo	####	####				
     	#kiriku	kerk	0		S	sg g
Koolmeistri	koolmeistri	kool_meister	0		S	sg g
Mesodi	####	####				
      	#Mesodi	Mesodi	0		H	sg n
Kultsari	kult_sari	kult_sari	0		S	sg g
        	kult_sari	kult_sari	0		S	sg n
        	kult_sari	kult_sari	0		S	sg p
        	£Kultsari	Kultsar	0		H	sg g
Käeste	####	####				
      	#käest	käest	0		K	
Rentinud	renti=nud	renti=nud	0		A	
        	renti=nud	renti=nud	0		A	sg n
        	renti=nu	renti=nu	d		S	pl n
        	renti=nud	renti=nud	d		A	pl n
        	@rentinud	renti	nud		V	nud
.	.	.			Z	
Sedda	####	####				
     	#seda	see	da		P	sg p
tunnistab	tunnistab	tunnista	b		V	b
Liso	####	####				
    	#Liisu	Liso	0		H	sg n
    	Liisu	Liso	0		H	sg g
Karits	####	####				
      	#Karits	Karits	0		H	sg n
Kes	kes	kes	0		P	pl n
   	@kes	kes	0		P	sg n
need	need	see	d		P	pl n
ellajad	####	####				
       	#elajad	elajas	d		S	pl n
on	@on	ole	0		V	b
  	ole	ole	0		V	vad
wasto	####	####				
     	#vastu	vastu	0		D	
     	vastu	vastu	0		K	
oidand	oid_and	oid_and	0		S	sg n
      	£hoidnud	hoid	nd		V	nud
pöllo	####	####				
     	#põllu	põld	0		S	sg g
peale	peale	peale	0		D	
     	@peale	peale	0		K	
     	pea	pea	le		S	sg all
teist	sina	sina	st		P	pl el
     	tee	tee	ist		S	pl el
     	@teist	teine	t		O	sg p
     	teine	teine	t		P	sg p
     	teist	teist	0		D	
korda	kord	kord	0		S	adt
     	@korda	kord	0		S	sg p
     	korda	korda	0		V	o
minnemast	####	####				
         	#minemast	mine	mast		V	mast
,	,	,			Z	
nüüd	nüüd	nüüd	0		D	
Sai	@sai	saa	i		V	s
   	sai	sai	0		S	sg n
se	####	####				
  	#see	see	0		P	sg n
kahjo	####	####				
     	kahju	kahi	0		S	sg g
     	kahju	kahi	0		S	sg p
     	kahju	kahi	0		S	adt
     	#kahju	kahju	0		S	sg n
