Koos	@koos	koos	0		D	
    	koos	koos	0		K	
    	koos	koos	0		S	sg n
    	kubu	kubu	s		S	sg in
ollid	####	####				
     	#olid	ole	id		V	sid
Tallitaja	####	####				
         	#talitaja	talitaja	0		S	sg n
         	talitaja	talitaja	0		S	sg g
:	:	:			Z	
N. Mähle	####	####				
        	#N._Mähle	N._Mähle	0		H	sg n
,	,	,			Z	
abbimehhed	####	####				
          	#abimehed	abi_mees	d		S	pl n
G. Norwit	####	####				
         	#G._Norwit	G._Norwit	0		H	sg n
ja	ja	ja	0		J	
H. Pissa	####	####				
        	#H._Pissa	H._Pissa	0		H	sg n
seatud	sea=tu	sea=tu	d		S	pl n
      	@seatud	sead	tud		V	tud
      	seatud	seatud	0		A	
      	seatud	seatud	0		A	sg n
      	seatud	seatud	d		A	pl n
kohtopäwa	####	####				
         	#kohtupäeva	kohus_päev	0		S	sg p
piddamas	####	####				
        	#pidamas	pida	mas		V	mas
.	.	.			Z	
Prido	####	####				
     	#Priidu	Prido	0		H	sg n
Amisep	####	####				
      	#Aamisepp	Amisep	0		H	sg n
astus	astus	astu	s		V	s
kohto	####	####				
     	kohtu	kohtu	0		V	o
     	#kohtu	kohus	0		S	sg g
ette	esi	esi	tte		S	adt
    	ette	ette	0		D	
    	@ette	ette	0		K	
ja	ja	ja	0		J	
kaebas	kaebas	kaeba	s		V	s
,	,	,			Z	
et	et	et	0		J	
enne	enne	enne	0		D	
    	@enne	enne	0		K	
    	enne	enne	0		S	sg n
Jõulu	####	####				
     	#jõulu	jõul	0		S	sg p
,	,	,			Z	
üks	üks	üks	0		N	sg n
   	@üks	üks	0		P	sg n
laupääw	####	####				
       	#laupäev	lau_päev	0		S	sg n
öhto	####	####				
    	#õhtu	õhtu	0		S	sg n
läinud	läinud	läinud	0		A	
      	läinud	läinud	0		A	sg n
      	läinu	läinu	d		S	pl n
      	läinud	läinud	d		A	pl n
      	@läinud	mine	nud		V	nud
temma	####	####				
     	tema	tema	0		P	sg g
     	#tema	tema	0		P	sg n
körtso	####	####				
      	#kõrtsi	kõrts	0		S	adt
,	,	,			Z	
wötnud	####	####				
      	#võtnud	võt	nud		V	nud
seal	@seal	seal	0		D	
    	siga	siga	l		A	sg ad
    	siga	siga	l		S	sg ad
pool	pool	pool	0		K	
    	@pool	pool	0		N	sg n
    	pool	pool	0		S	sg n
kortert	####	####				
       	#kortlit	korter	t		S	sg p
wina	vina	vina	0		S	sg g
    	vina	vina	0		S	sg n
    	vina	vina	0		S	sg p
    	vina	vina	0		V	o
    	£viina	viin	0		S	sg p
,	,	,			Z	
jonud	####	####				
     	#joonud	joo	nud		V	nud
sest	@sest	see	st		P	sg el
    	sest	sest	0		J	
isse	####	####				
    	#ise	ise	0		P	sg n
    	ise	ise	0		D	
    	ise	ise	0		P	pl n
ja	ja	ja	0		J	
annud	####	####				
     	#andnud	and	nud		V	nud
Jür	####	####				
   	#Jür	Jür	0		Y	?
.	.	.			Z	
Tarrestele	####	####				
          	#Tarrestele	Tarreste	le		H	sg all
ja	ja	ja	0		J	
Andr	####	####				
    	#Andr	Andr	0		Y	?
.	.	.			Z	
Püssile	Püssi	Püssi	le		H	sg all
       	püss	püss	le		S	sg all
       	£Püssile	Püss	le		H	sg all
ka	ka	ka	0		D	
.	.	.			Z	
Peet	@Peet	Peet	0		H	sg n
    	peet	peet	0		S	sg n
Prenner	####	####				
       	#Prenner	Prenner	0		H	sg n
olnud	ol=nud	ol=nud	0		A	
     	ol=nud	ol=nud	0		A	sg n
     	ol=nud	ol=nud	d		A	pl n
     	@olnud	ole	nud		V	nud
     	olnu	olnu	d		S	pl n
ka	ka	ka	0		D	
seal	@seal	seal	0		D	
    	siga	siga	l		A	sg ad
    	siga	siga	l		S	sg ad
,	,	,			Z	
terretanud	####	####				
          	#teretanud	tereta	nud		V	nud
tedda	####	####				
     	#teda	tema	da		P	sg p
ja	ja	ja	0		J	
küssinud	####	####				
        	#küsinud	küsi	nud		V	nud
,	,	,			Z	
mis	mis	mis	0		P	pl n
   	@mis	mis	0		P	sg n
ta	tema	tema	0		P	sg g
  	@ta	tema	0		P	sg n
ellab	####	####				
     	#elab	ela	b		V	b
ja	ja	ja	0		J	
kas	kas	kas	0		D	
ta	tema	tema	0		P	sg g
  	@ta	tema	0		P	sg n
pea	@pea	pea	0		D	
   	pea	pea	0		S	sg g
   	pea	pea	0		S	sg n
   	pida	pida	0		V	o
ärra	####	####				
    	#ära	ära	0		D	
    	ära	ära	0		V	neg o
tulleb	####	####				
      	#tuleb	tule	b		V	b
?	?	?			Z	
Temma	####	####				
     	#tema	tema	0		P	sg n
     	tema	tema	0		P	sg g
öölnud	####	####				
      	#öelnud	ütle	nud		V	nud
,	,	,			Z	
et	et	et	0		J	
tal	tal	tema	l		P	sg ad
weel	@veel	veel	0		D	
    	vesi	vesi	l		S	sg ad
    	veel	vesi	l		S	sg ad
nattuke	####	####				
       	#natuke	natuke	0		D	
aega	aeg	aeg	0		S	adt
    	@aega	aeg	0		S	sg p
    	aega	aega	0		K	
lähheb	####	####				
      	#läheb	mine	b		V	b
.	.	.			Z	
Peet	@Peet	Peet	0		H	sg n
    	peet	peet	0		S	sg n
Prenner	####	####				
       	#Prenner	Prenner	0		H	sg n
ja	ja	ja	0		J	
Gustav	Gustav	Gustav	0		H	sg n
Külla	küla	küla	0		S	adt
     	küll	küll	0		S	adt
     	küll	küll	0		S	sg g
     	küll	küll	0		S	sg p
     	£Küla	Külla	0		H	sg n
läinud	läinud	läinud	0		A	
      	läinud	läinud	0		A	sg n
      	läinu	läinu	d		S	pl n
      	läinud	läinud	d		A	pl n
      	@läinud	mine	nud		V	nud
körtsust	####	####				
        	#kõrtsist	kõrts	st		S	sg el
wälja	väli	väli	0		S	adt
     	väli	väli	0		S	sg g
     	väli	väli	0		S	sg p
     	@välja	välja	0		D	
     	välja	välja	0		V	o
     	välja	väli	0		S	adt
     	välja	väli	0		S	sg g
     	välja	väli	0		S	sg p
