kihelkond;maakond_kuni1917;vald;failides;khk_id;khk_sks;murre
Ambla;Järva;Nõmmküla;ei;Amb;Ampel;keskmurre
Ambla;Järva;Raka;ei;Amb;Ampel;keskmurre
Ambla;Järva;Uudeküla;jah;Amb;Ampel;keskmurre
Ambla;Järva;Karkuse;ei;Amb;Ampel;keskmurre
Ambla;Järva;Ambla;jah;Amb;Ampel;keskmurre
Anna;Järva;Eivere;jah;Ann;St. Annen;keskmurre
Anna;Järva;Purdi;jah;Ann;St. Annen;keskmurre
Audru;Pärnu;Võlla;jah;Aud;Audern;läänemurre
Emmaste;Lääne;Emmaste;jah;Emm;Emmast;saarte murre
Hageri;Harju;Kohila;jah;Hag;Haggers;keskmurre
Haljala;Viru;Vihula;jah;Hlj;Haljall;rannamurre
Halliste;Pärnu;Pornuse;jah;Hls;Hallist;Mulgi murre
Halliste;Pärnu;Abja;jah;Hls;Hallist;Mulgi murre
Halliste;Pärnu;Penuja;jah;Hls;Hallist;Mulgi murre
Halliste;Pärnu;Vanamõisa;ei;Hls;Hallist;Mulgi murre
Halliste;Pärnu;Kaarli;ei;Hls;Hallist;Mulgi murre
Halliste;Pärnu;Kaubi;ei;Hls;Hallist;Mulgi murre
Halliste;Pärnu;Vana-Kariste;ei;Hls;Hallist;Mulgi murre
Hanila;Lääne;Massu;jah;Han;Hanehl;läänemurre
Hanila;Lääne;Paadrema;ei;Han;Hanehl;läänemurre
Hanila;Lääne;Paatsalu;ei;Han;Hanehl;läänemurre
Hanila;Lääne;Virtsu;ei;Han;Hanehl;läänemurre
Hargla;Võru;Taheva;jah;Har;Harjel;Võru murre
Harju-Jaani;Harju;Peningi;jah;HJn;St. Johannis;keskmurre
Harju-Madise;Harju;Padise (Kloostri);jah;HMd;St. Matthias;keskmurre
Helme;Viljandi;Lõve;jah;Hel;Helmet;Mulgi murre
Helme;Viljandi;Leebiku;jah;Hel;Helmet;Mulgi murre
Helme;Viljandi;Taagepera;ei;Hel;Helmet;Mulgi murre
Häädemeeste;Pärnu;Tahkuranna;ei;Hää;Gudmannsbach;läänemurre
Häädemeeste;Pärnu;Häädemeeste;ei;Hää;Gudmannsbach;läänemurre
Häädemeeste;Pärnu;Orajõe;ei;Hää;Gudmannsbach;läänemurre
Iisaku;Viru;Iisaku;jah;Iis;Isaak;kirdemurre
Iisaku;Viru;Pootsiku;jah;Iis;Isaak;kirdemurre
Iisaku;Viru;Tärivere;ei;Iis;Isaak;kirdemurre
Iisaku;Viru;Tudulinna;ei;IisIda;Isaak;idamurre
Iisaku;Viru;Kauksi;jah;IisIda;Isaak;idamurre
Juuru;Harju;Kuimetsa;ei;Juu;Jörden;keskmurre
Juuru;Harju;Kaiu;jah;Juu;Jörden;keskmurre
Juuru;Harju;Juuru;jah;Juu;Jörden;keskmurre
Jõelähtme;Harju;Jõelähtme;jah;JõeKesk;Jeglecht;keskmurre
Jõhvi;Viru;Illuka;jah;Jõh;Jewe;kirdemurre
Jämaja;Saare;Torgu;ei;Jäm;Jamma;saarte murre
Järva-Jaani;Järva;Karinu;jah;JJn;St. Johannis;keskmurre
Järva-Jaani;Järva;Einmanni;jah;JJn;St. Johannis;keskmurre
Järva-Jaani;Järva;Seliküla;ei;JJn;St. Johannis;keskmurre
Järva-Madise;Järva;Seidla;ei;JMd;St. Matthäi;keskmurre
Järva-Madise;Järva;Albu;jah;JMd;St. Matthäi;keskmurre
Jüri;Harju;Rae;jah;Jür;St. Jürgens;keskmurre
Kaarma;Saare;Meedla;jah;Kaa;Karmel;saarte murre
Kaarma;Saare;Loona;jah;Kaa;Karmel;saarte murre
Kadrina;Viru;Tõdva-Kõnnu;jah;Kad;St. Katharinen;keskmurre
Kadrina;Viru;Udriku;jah;Kad;St. Katharinen;keskmurre
Kadrina;Viru;Hulja;jah;Kad;St. Katharinen;keskmurre
Kadrina;Viru;Undla;ei;Kad;St. Katharinen;keskmurre
Kadrina;Viru;Vohnja;ei;Kad;St. Katharinen;keskmurre
Kadrina;Viru;Neeruti;jah;Kad;St. Katharinen;keskmurre
Kambja;Tartu;Haaslava;jah;Kam;Kamby;Tartu murre
Kambja;Tartu;Vana-Kuuste;ei;Kam;Kamby;Tartu murre
Kambja;Tartu;Vana-Prangli;jah;Kam;Kamby;Tartu murre
Kambja;Tartu;Veski;jah;Kam;Kamby;Tartu murre
Kanepi;Võru;Krootuse;jah;Kan;Kannapäh;Võru murre
Karja;Saare;Leisi;jah;Krj;Karris;saarte murre
Karksi;Pärnu;Polli;jah;Krk;Karkus;Mulgi murre
Karksi;Pärnu;Pöögle;ei;Krk;Karkus;Mulgi murre
Karksi;Pärnu;Karksi;jah;Krk;Karkus;Mulgi murre
Karuse;Lääne;Saastna;jah;Kse;Karusen;läänemurre
Keila;Harju;Keila;jah;Kei;Kegel;keskmurre
Keila;Harju;Saku;ei;Kei;Kegel;keskmurre
Keila;Harju;Harku;jah;Kei;Kegel;keskmurre
Keila;Harju;Saue;jah;Kei;Kegel;keskmurre
Kihelkonna;Saare;Kotlandi;jah;Khk;Kielkond;saarte murre
Kihelkonna;Saare;Loona;jah;Khk;Kielkond;saarte murre
Kihelkonna;Saare;Karala;ei;Khk;Kielkond;saarte murre
Kihelkonna;Saare;Kihelkonna;jah;Khk;Kielkond;saarte murre
Kihelkonna;Saare;Pidula;jah;Khk;Kielkond;saarte murre
Kihelkonna;Saare;Tagamõisa;jah;Khk;Kielkond;saarte murre
Kihelkonna;Saare;Rootsiküla;ei;Khk;Kielkond;saarte murre
Kihelkonna;Saare;Atla;jah;Khk;Kielkond;saarte murre
Kihelkonna;Saare;Paju;jah;Khk;Kielkond;saarte murre
Kihelkonna;Saare;Lümanda;jah;Khk;Kielkond;saarte murre
Kodavere;Tartu;Alatskivi;jah;Kod;Koddafer;idamurre
Kodavere;Tartu;Pala;jah;Kod;Koddafer;idamurre
Kodavere;Tartu;Ranna;jah;Kod;Koddafer;idamurre
Kodavere;Tartu;Kokora;jah;Kod;Koddafer;idamurre
Kodavere;Tartu;Kadrina;jah;Kod;Koddafer;idamurre
Kodavere;Tartu;Halliku;jah;Kod;Koddafer;idamurre
Koeru;Järva;Varangu;jah;Koe;St. Marien-Magdalenen;keskmurre
Kolga-Jaani;Viljandi;Kolga-Jaani;ei;KJn;Klein-St. Johannis;keskmurre
Kolga-Jaani;Viljandi;Võisiku;jah;KJn;Klein-St. Johannis;keskmurre
Kolga-Jaani;Viljandi;Paenasti;jah;KJn;Klein-St. Johannis;keskmurre
Kolga-Jaani;Viljandi;Soosaare;ei;KJn;Klein-St. Johannis;keskmurre
Kose;Harju;Palvere;jah;Kos;Kosch;keskmurre
Kose;Harju;Kose-Uuemõisa;jah;Kos;Kosch;keskmurre
Kose;Harju;Habaja;jah;Kos;Kosch;keskmurre
Kose;Harju;Triigi;jah;Kos;Kosch;keskmurre
Kullamaa;Lääne;Reopä;jah;Kul;Goldenbeck;läänemurre
Kullamaa;Lääne;Luiste;ei;Kul;Goldenbeck;läänemurre
Kullamaa;Lääne;Kuijõe;jah;Kul;Goldenbeck;läänemurre
Kullamaa;Lääne;Päri;ei;Kul;Goldenbeck;läänemurre
Kullamaa;Lääne;Vaikna;ei;Kul;Goldenbeck;läänemurre
Kullamaa;Lääne;Sooniste;jah;Kul;Goldenbeck;läänemurre
Kullamaa;Lääne;Piirsalu;jah;Kul;Goldenbeck;läänemurre
Kullamaa;Lääne;Soosalu;ei;Kul;Goldenbeck;läänemurre
Kullamaa;Lääne;Teenuse;jah;Kul;Goldenbeck;läänemurre
Kullamaa;Lääne;Loodna;ei;Kul;Goldenbeck;läänemurre
Kullamaa;Lääne;Kohatu;ei;Kul;Goldenbeck;läänemurre
Kullamaa;Lääne;Sipa;ei;Kul;Goldenbeck;läänemurre
Kullamaa;Lääne;Koluvere;ei;Kul;Goldenbeck;läänemurre
Kullamaa;Lääne;Jõgisoo;ei;Kul;Goldenbeck;läänemurre
Kullamaa;Lääne;Käända;jah;Kul;Goldenbeck;läänemurre
Kullamaa;Lääne;Väike-Kullamaa;jah;Kul;Goldenbeck;läänemurre
Kullamaa;Lääne;Liivi;ei;Kul;Goldenbeck;läänemurre
Kursi;Tartu;Härjanurme;ei;Ksi;Talkhof;keskmurre
Kursi;Tartu;Saduküla;ei;Ksi;Talkhof;keskmurre
Kursi;Tartu;Laeva;jah;Ksi;Talkhof;keskmurre
Kursi;Tartu;Puurmani;jah;Ksi;Talkhof;keskmurre
Kuusalu;Harju;Kolga;jah;KuuKesk;Kusal;keskmurre
Kuusalu;Harju;Kõnnu;jah;KuuKesk;Kusal;keskmurre
Kõpu;Viljandi;Väike-Kõpu;ei;Kõp;Köppo;keskmurre
Kõpu;Viljandi;Suure-Kõpu;jah;Kõp;Köppo;keskmurre
Kõpu;Viljandi;Puiatu;ei;Kõp;Köppo;keskmurre
Käina;Lääne;Putkaste;jah;Käi;Keinis;saarte murre
Käina;Lääne;Aadma;jah;Käi;Keinis;saarte murre
Käina;Lääne;Vaemla;jah;Käi;Keinis;saarte murre
Käina;Lääne;Käina;jah;Käi;Keinis;saarte murre
Kärla;Saare;Kärla;jah;Kär;Kergel;saarte murre
