ilmusid	Ilmusid
räpina	Räpina
wallas	wallas
ellawad	elawad
walla	walla
ligmed	liigmed
wido	Wiido
reinu	Reinu
p	p
narrusberg	Narusberg
ja	ja
jan	Jaan
kristo	Kristo
p	p
parmak	Parmak
ja	ja
pallusid	palusid
järgmist	järgmist
su	suu
sõnalist	sõnalist
lepingut	lepingut
walla	walla
kohtu	kohtu
aktide	aktide
ramatuse	raamatuse
sisse	sisse
kirjutada	kirjutada
ja	ja
kinnitada	kinnitada
1.	1.
wido	Wiido
narrusberg	Narusberg
annab	annab
omma	oma
periseks	periseks
ostetud	ostetud
räpina	Räpina
wallas	wallas
ollewa	olewa
wira	Wiira
n130	N130
tallu	talu
mis	mis
mahinna	maahinna
järgi	järgi
17	17
talrit	taalrit
80	80
grussi	grussi
sur	suur
on	on
rendile	rendile
üheks	üheks
astaks	aastaks
23dast	23dast
aprillist	aprillist
1912a	1912a
kunni	kuni
23da	23da
aprillini	aprillini
1913a	1913a
jan	Jaan
kristo	Kristo
pojja	poja
parmakule	Parmakule
temma	tema
issa	isa
kristo	Kristo
parmaku	Parmaku
wastutusel	wastutusel
2.	2.
selle	Selle
kohha	koha
est	eest
maksab	maksab
rentnik	rentnik
kakssadda	kakssada
kolmkümmend	kolmkümmend
rubla	rubla
230r	230r
renti	renti
astaks	aastaks
essimese	Esimese
pole	poole
115	115
rubl	rubl
renti	renti
maksab	maksab
rentnik	rentnik
1	1
märtsil	märtsil
ja	ja
teise	teise
pole	poole
115	115
rubla	rubla
maksab	maksab
1	1
oktoobril	oktoobril
1912a	1912a
ärra	ära
kui	Kui
tärminitel	tärminitel
mitte	mitte
rent	rent
ärra	ära
makstud	makstud
ei	ei
olle	ole
sis	siis
maksab	maksab
rentnik	rentnik
ülle	üle
läinud	läinud
ajja	aja
est	eest
6%	6%
ja	ja
kannab	kannab
kõik	kõik
kullud	kulud
kui	kui
kohtuga	kohtuga
tulleb	tuleb
nõudmist	nõudmist
3.	3.
rentnik	Rentnik
täidab	täidab
kõik	kõik
selle	selle
ma	maa
peal	peal
ollewad	olewad
kohhused	kohused
ja	ja
orjused	orjused
nimmelt	nimmelt
kirriku	kiriku
maksud	maksud
tesillutamised	teesillutamised
küdiskäimised	küüdiskäimised
ja	ja
mud	muud
mis	mis
walla	walla
ehk	ehk
kronu	kroonu
kässul	käsul
tullewad	tulewad
täita	täita
kui	Kui
peaks	peaks
nende	nende
orjuste	orjuste
est	eest
rahha	raha
wõetama	wõetama
peab	peab
rentnik	rentnik
sedda	seda
maksmma	maksmma
ned	Need
punktid	punktid
maksawad	maksawad
ka	ka
tullekahju	tulekahju
seltsi	seltsi
weddu	wedu
kohta	kohta
4.	4.
ilma	Ilma
kohha	koha
ommaniku	omaniku
lubbata	lubata
ei	ei
tohhi	tohi
õlgi	õlgi
põhku	põhku
heinu	heinu
egga	ega
sõnnikut	sõnnikut
müa	müüa
majast	majast
ärra	ära
anda	anda
egga	ega
kuhhukilegi	kuhukilegi
ärra	ära
weddada	wedada
5	5
rentnik	Rentnik
peab	peab
selles	selles
üllewal	ülewal
nimmetatud	nimetatud
tallus	talus
piddama	pidama
karri	kari
lomi	loomi
9	9
pead	pead
hobuseid	hobuseid
2	2
ning	ning
mud	muud
krami	kraami
naggu	nagu
seadus	seadus
sedda	seda
kässeb	käseb
mis	mis
kontrahdi	kontrahdi
täitmise	täitmise
kohta	kohta
pandis	pandis
pandud	pandud
on	on
6	6
rentik	Rentik
peab	peab
majja	maja
aiad	aiad
katused	katused
ja	ja
honed	hooned
täieste	täieste
korras	korras
hoidma	hoidma
7.	7.
tallupollud	Talupollud
tullewad	tulewad
7mes	7mes
waljas	waljas
piddada	pidada
2	2
wälja	wälja
ristikheina	ristikheina
1	1
keswa	Keswa
1	1
linna	lina
1	1
kartuli	kartuli
ja	ja
kaera	kaera
1	1
rükki	rükki
ja	ja
1	1
kessa	kesa
all	all
linna	Lina
ei	ei
tohhi	tohi
ennam	enam
kui	kui
1	1
nurmm	nurmm
külwada	külwada
8	8
rentnik	Rentnik
peab	peab
omma	oma
semniga	seemniga
ilmatassuta	ilmatasuta
illusaste	ilusaste
ja	ja
korra	korra
pärast	pärast
ristik	ristik
heina	heina
nurme	nurme
ülle	üle
külwama	külwama
9	9
süggisel	Sügisel
olgu	olgu
wähemalt	wähemalt
kaks	kaks
nurme	nurme
põldu	põldu
korra	korra
päralt	päralt
ärra	ära
küntud	küntud
põldude	Põldude
wahhel	wahel
ollewad	olewad
krawid	kraawid
tullewad	tulewad
rentnikul	rentnikul
puhtade	puhtade
ja	ja
korras	korras
hoida	hoida
10	10
rentnik	Rentnik
peab	peab
kessa	kesa
nurmme	nurmme
weiksist	weiksist
kiwadest	kiwadest
puhtaks	puhtaks
teggema	tegema
sured	Suured
kiwwid	kiwid
midda	mida
omanik	omanik
lasseb	laseb
lõhkuta	lõhkuta
peab	peab
rentnik	rentnik
koddu	kodu
weddama	wedama
mille	mille
est	eest
agga	aga
sülla	sülla
pealt	pealt
kokku	kokku
lepimise	lepimise
järrele	järele
hind	hind
sab	saab
rendist	rendist
mahha	maha
arwatud	arwatud
palgid	Palgid
ja	ja
rowid	roowid
mis	mis
ehhituse	ehituse
jurde	juurde
ommaniku	omaniku
metsast	metsast
sada	saada
on	on
peab	peab
rentnik	rentnik
jurde	juurde
weddama	wedama
ehhituse	Ehituse
jurde	juurde
awwitab	awitab
rentnik	rentnik
ka	ka
krusa	kruusa
katuse	katuse
lasta	laasta
ja	ja
lubja	lubja
weddada	wedada
honete	Hoonete
parrandamise	parandamise
ehk	ehk
wäikeste	wäikeste
töde	tööde
jaoks	jaoks
majja	maja
ümber	ümber
annab	annab
rentnik	rentnik
tömehhele	töömehele
sögi	söögi
11	11
et	Et
espol	eespool
tähhendatud	tähendatud
tallu	talu
poleks	pooleks
mõdetud	mõõdetud
on	on
sis	siis
on	on
tallu	talu
ommanikul	omanikul
õigus	õigus
ma	maa
mõtjast	mõõtjast
ärra	ära
tähhendatud	tähendatud
kupitsate	kupitsate
järrele	järele
selle	selle
tallu	talu
kruntidest	kruntidest
pirijont	piirijoont
läbbi	läbi
ajjada	ajada
ilma	ilma
et	et
rendile	rendile
wõtjal	wõtjal
selle	selle
kohta	kohta
middagi	midagi
ütelda	ütelda
oleks	oleks
ning	ning
ommanikul	omanikul
on	on
õigus	õigus
nõnda	nõnda
et	et
se	see
piri	piiri
jon	joon
eddaspiddigi	edaspidigi
rentniku	rentniku
polt	poolt
alles	alles
hoitud	hoitud
saks	saaks
12.	12.
kui	Kui
augusti	augusti
kuni	kuuni
kummaltgi	kummaltgi
polt	poolt
ülles	üles
ei	ei
ütelda	ütelda
sis	siis
jäb	jääb
se	see
kontraht	kontraht
wel	weel
üheks	üheks
astaks	aastaks
eddasi	edasi
neide	neide
sammade	samade
tingimistega	tingimistega
maksma	maksma
13	13
kontrahti	Kontrahti
teggemise	tegemise
ja	ja
kinnitammise	kinnitammise
kullud	kulud
tullewad	tulewad
rentnikul	rentnikul
ja	ja
rendile	rendile
andjal	andjal
poleks	pooleks
maksa	maksa
14	14
kui	Kui
rentnik	rentnik
peaks	peaks
arra	ara
minnema	minema
wälja	wälja
sis	siis
peab	peab
kaks	kaks
putu	puutu
illusad	ilusad
puhast	puhast
ristik	ristik
heina	heina
semend	seemend
majjasse	majasse
jätma	jätma
j	J
parmakw	ParmakW
narrusberg	Narusberg
et	Et
käes	käes
ollew	olew
leping	leping
pärast	pärast
selle	selle
ette	ette
lugemist	lugemist
lepingu	lepingu
ossalistele	osalistele
nende	nende
polt	poolt
omma	oma
käega	käega
on	on
alla	alla
kirjutatud	kirjutatud
et	et
neil	neil
lepingu	lepingu
tegemiseks	tegemiseks
seaduslik	seaduslik
õigus	õigus
on	on
ja	ja
et	et
nad	nad
pollelikult	polelikult
walla	walla
kohtule	kohtule
tuntud	tuntud
on	on
sab	saab
räpina	Räpina
walla	walla
kohtu	kohtu
polt	poolt
tunnistatud	tunnistatud
kohtu	Kohtu
esistuja	eesistujaa
j	J
suik	Suik
allkirri	allkiri
kohtu	Kohtu
lige	liige
j	J
kirrotar	Kirotar
allkirri	allkiri
j	J
kohk	Kohk
allkirri	allkiri
kirjutaja	Kirjutaja
d. zirmask	D. Zirmask
allkirri	allkiri
protokolli	Protokolli
eddesiminek	edesiminek
n37	N37
jan	Jaan
parmak	Parmak
and	and
wastust	wastust
et	Et
temma	tema
sellest	sellest
asjast	asjast
middagi	midagi
ei	ei
tia	tiia
jan	Jaan
parmakule	Parmakule
sai	sai
josep	Joosep
parmakust	Parmakust
ette	ette
antud	antud
wõlla	wõla
taht	taht
ette	ette
pantud	pantud
kes	kes
sedda	seda
wõllatähte	wõlatähte
mitte	mitte
ommas	omas
ei	ei
tunnistanud	tunnistanud
waid	waid
ütles	ütles
et	et
se	see
küll	küll
temma	tema
kaekirja	kaekirja
modu	moodu
wälja	wälja
nägewat	nägewat
elminejad	Eelminejad
protokollid	protokollid
said	said
ette	ette
loetud	loetud
ning	ning
jan	Jaan
parmak	Parmak
andis	andis
ülles	üles
et	et
se	see
täht	täht
kahtlane	kahtlane
on	on
selle	selle
et	et
tähest	tähest
nähta	nähta
ollewad	olewad
et	et
