märus	Määrus
1914	1914
a.	a.
septembri	Septembri
ku	kuu
27	27
päewal	päewal
massu	Massu
walla	walla
kohhus	kohus
tähhele	tähele
pannes	pannes
et	et
23	23
s	s
k	k
p	p
on	on
sõjja	sõja
tenistusesse	teenistusesse
wõetud	wõetud
kohtu	kohtu
mes	mees
addo	Ado
rossfeldt	Rossfeldt
mahha	maha
tõmmatud	tõmmatud
mihkel	Mihkel
kukk	Kukk
mis	mis
pärast	pärast
temma	tema
kandidat	kandidat
addo	Ado
putk	Putk
ta	ta
kohhusid	kohusid
täitma	täitma
peab	peab
märas	määras
tänasest	tänasest
päewast	päewast
addo	Ado
putk	Putk
kohtu	kohtu
likme	liikme
kohhusid	kohusid
täitma	täitma
nimmetada	nimetada
mahha	Maha
tõmmatud	tõmmatud
addo	Ado
rossfeldt	Rossfeldt
esistuja	Eesistuja
1906	1906
astal	aastal
7	7
septembril	Septembril
ilmus	ilmus
wiggala	Wigala
walla	walla
kohtu	kohtu
jurde	juurde
pärni	Päärni
hansu	Hansu
p	p
roste	Rooste
kes	kes
issiklikult	isiklikult
kohtule	kohtule
tuttaw	tuttaw
ja	ja
pallus	palus
järgmist	järgmist
aktiramatusse	aktiraamatusse
kanda	kanda
minnul	Minul
on	on
omma	oma
saun	saun
mis	mis
kasiku	Kaasiku
rent	rent
kohha	koha
ma	maa
peal	peal
on	on
sab	saab
pärast	pärast
minnu	minu
surma	surma
minnu	minu
teisest	teisest
abbielust	abielust
naise	naise
kai	Kai
rostele	Roostele
sest	sest
et	et
se	see
majja	maja
temma	tema
rahhaga	rahaga
on	on
ehhitatud	ehitatud
ja	ja
teistel	teistel
minnu	minu
pärrijatel	pärijatel
polle	pole
miski	miski
nõudmist	nõudmist
selle	selle
majja	maja
kohta	kohta
ka	Ka
kõik	kõik
likuw	liikuw
kram	kraam
mis	mis
selles	selles
majjas	majas
jäb	jääb
kai	Kai
rostele	Roostele
pärast	pärast
minnu	minu
surma	surma
sauna	Sauna
wärtuse	wäärtuse
arwan	arwan
kakssadda	kakssada
rubla	rubla
se	See
mahha	maha
teggemine	tegemine
on	on
minnule	minule
ette	ette
loetud	loetud
ilmusiwad	Ilmusiwad
kärru	Käru
jätama	Jätama
n 38	N 38
tallu	talu
kinnitatud	kinnitatud
pärrija	pärija
mart	Mart
karli	Karli
p	p
kauman	Kauman
ja	ja
rendile	rendile
andja	andja
ja	ja
kärru	Käru
walla	walla
liga	liiga
anton	Anton
hansu	Hansu
p	p
ringenberg	Ringenberg
kui	kui
rendile	rendile
wõtja	wõtja
ja	ja
awwaldasiwad	awaldasiwad
et	et
nemmad	nemad
allpol	allpool
ollewa	olewa
rendi	rendi
kauba	kauba
enneste	eneste
wahhel	wahel
kokku	kokku
räkinud	rääkinud
ja	ja
kindlaks	kindlaks
teinud	teinud
midda	mida
nemmad	nemad
usutawaks	usutawaks
tunnistada	tunnistada
ka	ka
palluwad	paluwad
mart	Mart
kauman	Kauman
rendib	rendib
jättama	Jättama
n 38	N 38
tallu	talu
kõige	kõige
selle	selle
päralt	päralt
ollewate	olewate
madega	maadega
ühhe	ühe
asta	aasta
peale	peale
ja	ja
nimelt	nimelt
23	23
aprillist	Aprillist
1906	1906
a.	a.
kunni	kuni
23	23
apirllini	Apirllini
1907	1907
a.	a.
anton	Anton
ringenbergi	Ringenbergi
kätte	kätte
wälja	wälja
arwatud	arwatud
ainult	ainult
rohhu	rohu
aijast	aijast
pude	puude
allune	alune
ma	maa
ja	ja
õue	õue
ses	sees
poleli	pooleli
jänud	jäänud
ma	maa
kus	kus
1904	1904
a.	a.
naerid	naerid
olliwad	oliwad
mis	mis
rendile	rendile
andja	andja
kaumanni	Kaumanni
prukida	pruukida
üksinda	üksinda
jäwad	jääwad
kohha	Koha
pealt	pealt
sadaw	saadaw
puwili	puuwili
sab	saab
rentija	rentija
ja	ja
rentniku	rentniku
wahhel	wahel
poleks	pooleks
wõetud	wõetud
kui	kui
sedda	seda
ollema	olema
peaks	peaks
üks	Üks
hobbune	hobune
ja	ja
üks	üks
lehm	lehm
jäwad	jääwad
rendile	rendile
andja	andja
kaumannil	Kaumannil
ilma	ilma
tassuta	tasuta
priks	priiks
osta	osta
rentniku	rentniku
lomad	loomad
sekka	sekka
karjamast	Karjamaast
jäb	jääb
üks	üks
wakkomma	wakkoma
ossa	osa
mad	maad
rendile	rendile
andja	andja
prukida	pruukida
kütte	Kütte
pud	puud
sab	saab
rentnik	rentnik
ringenberg	Ringenberg
selle	selle
tallu	talu
karjamalt	karjamaalt
leppa	leppa
metsast	metsast
mis	mis
temma	tema
isse	ise
walmis	walmis
raijuma	raijuma
peab	peab
selle	Selle
tallu	talu
ma	maa
pealt	pealt
